source,id,title,agencies,publication_date,type,comments_close_on,html_url
FR,2025-09179,"Self-Regulatory Organizations; NYSE Texas, Inc.; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Establish the NYSE Texas Order Imbalances Proprietary Market Data Product",Securities and Exchange Commission,2025-05-22,Notice,,https://www.federalregister.gov/documents/2025/05/22/2025-09179/self-regulatory-organizations-nyse-texas-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-08532,Combined Notice of Filings #1,"Energy Department, Federal Energy Regulatory Commission",2025-05-15,Notice,,https://www.federalregister.gov/documents/2025/05/15/2025-08532/combined-notice-of-filings-1
FR,2025-08222,Notice of Effectiveness of Exempt Wholesale Generator Status,"Energy Department, Federal Energy Regulatory Commission",2025-05-12,Notice,,https://www.federalregister.gov/documents/2025/05/12/2025-08222/notice-of-effectiveness-of-exempt-wholesale-generator-status
FR,2025-07924,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-05-07,Rule,,https://www.federalregister.gov/documents/2025/05/07/2025-07924/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-07923,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-05-07,Rule,,https://www.federalregister.gov/documents/2025/05/07/2025-07923/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-07704,"Self-Regulatory Organizations; NYSE Arca, Inc.; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Connectivity Fee Schedule Related to Connectivity to Third Party Systems and Third Party Data Feeds",Securities and Exchange Commission,2025-05-05,Notice,,https://www.federalregister.gov/documents/2025/05/05/2025-07704/self-regulatory-organizations-nyse-arca-inc-notice-of-filing-and-immediate-effectiveness-of-proposed
FR,2025-07703,Self-Regulatory Organizations; NYSE American LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Connectivity Fee Schedule Related to Connectivity to Third Party Systems and Third Party Data Feeds,Securities and Exchange Commission,2025-05-05,Notice,,https://www.federalregister.gov/documents/2025/05/05/2025-07703/self-regulatory-organizations-nyse-american-llc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-07702,Self-Regulatory Organizations; New York Stock Exchange LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Connectivity Fee Schedule Related to Connectivity to Third Party Systems and Third Party Data Feeds,Securities and Exchange Commission,2025-05-05,Notice,,https://www.federalregister.gov/documents/2025/05/05/2025-07702/self-regulatory-organizations-new-york-stock-exchange-llc-notice-of-filing-and-immediate
FR,2025-07701,"Self-Regulatory Organizations; NYSE Texas, Inc.; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Connectivity Fee Schedule Related to Connectivity to Third Party Systems and Third Party Data Feeds",Securities and Exchange Commission,2025-05-05,Notice,,https://www.federalregister.gov/documents/2025/05/05/2025-07701/self-regulatory-organizations-nyse-texas-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-07700,"Self-Regulatory Organizations; NYSE National, Inc.; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Connectivity Fee Schedule Related to Connectivity to Third Party Systems and Third Party Data Feeds",Securities and Exchange Commission,2025-05-05,Notice,,https://www.federalregister.gov/documents/2025/05/05/2025-07700/self-regulatory-organizations-nyse-national-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-06317,Medicare Program; FY 2026 Hospice Wage Index and Payment Rate Update and Hospice Quality Reporting Program Requirements,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2025-04-30,Proposed Rule,,https://www.federalregister.gov/documents/2025/04/30/2025-06317/medicare-program-fy-2026-hospice-wage-index-and-payment-rate-update-and-hospice-quality-reporting
FR,2025-07215,"Self-Regulatory Organizations; NYSE Texas, Inc.; Notice of Filing of a Proposed Rule Change To Amend the Virtual Control Circuit Service in the Connectivity Fee Schedule",Securities and Exchange Commission,2025-04-28,Notice,,https://www.federalregister.gov/documents/2025/04/28/2025-07215/self-regulatory-organizations-nyse-texas-inc-notice-of-filing-of-a-proposed-rule-change-to-amend-the
FR,2025-07214,"Self-Regulatory Organizations; NYSE National, Inc.; Notice of Filing of a Proposed Rule Change To Amend the Virtual Control Circuit Service in the Connectivity Fee Schedule",Securities and Exchange Commission,2025-04-28,Notice,,https://www.federalregister.gov/documents/2025/04/28/2025-07214/self-regulatory-organizations-nyse-national-inc-notice-of-filing-of-a-proposed-rule-change-to-amend
FR,2025-07213,"Self-Regulatory Organizations; NYSE Arca, Inc.; Notice of Filing of a Proposed Rule Change To Amend the Virtual Control Circuit Service in the Connectivity Fee Schedule",Securities and Exchange Commission,2025-04-28,Notice,,https://www.federalregister.gov/documents/2025/04/28/2025-07213/self-regulatory-organizations-nyse-arca-inc-notice-of-filing-of-a-proposed-rule-change-to-amend-the
FR,2025-07212,Self-Regulatory Organizations; New York Stock Exchange LLC; Notice of Filing of a Proposed Rule Change To Amend the Virtual Control Circuit Service in the Connectivity Fee Schedule,Securities and Exchange Commission,2025-04-28,Notice,,https://www.federalregister.gov/documents/2025/04/28/2025-07212/self-regulatory-organizations-new-york-stock-exchange-llc-notice-of-filing-of-a-proposed-rule-change
FR,2025-07211,"Self-Regulatory Organizations; NYSE American LLC; Notice of Filing of a Proposed Rule Change, as Modified by Partial Amendment No. 1, To Amend the Connectivity Fee Schedule",Securities and Exchange Commission,2025-04-28,Notice,,https://www.federalregister.gov/documents/2025/04/28/2025-07211/self-regulatory-organizations-nyse-american-llc-notice-of-filing-of-a-proposed-rule-change-as
FR,2025-07156,Procurement List; Proposed Additions and Deletions,Committee for Purchase From People Who Are Blind or Severely Disabled,2025-04-25,Notice,,https://www.federalregister.gov/documents/2025/04/25/2025-07156/procurement-list-proposed-additions-and-deletions
FR,2025-06881,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-04-23,Rule,,https://www.federalregister.gov/documents/2025/04/23/2025-06881/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-06880,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-04-23,Rule,,https://www.federalregister.gov/documents/2025/04/23/2025-06880/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-06338,"Self-Regulatory Organizations; Cboe BZX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Adopt Fees for New Logical Ports in Connection With a New Connectivity Offering on Its Equity Options Platform",Securities and Exchange Commission,2025-04-15,Notice,,https://www.federalregister.gov/documents/2025/04/15/2025-06338/self-regulatory-organizations-cboe-bzx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-06117,Privacy Act of 1974; System of Records,Postal Service,2025-04-10,Notice,,https://www.federalregister.gov/documents/2025/04/10/2025-06117/privacy-act-of-1974-system-of-records
FR,2025-05784,"Self-Regulatory Organizations; NYSE Chicago, Inc.; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Connectivity Fee Schedule",Securities and Exchange Commission,2025-04-04,Notice,,https://www.federalregister.gov/documents/2025/04/04/2025-05784/self-regulatory-organizations-nyse-chicago-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-05783,Self-Regulatory Organizations; NYSE American LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Connectivity Fee Schedule,Securities and Exchange Commission,2025-04-04,Notice,,https://www.federalregister.gov/documents/2025/04/04/2025-05783/self-regulatory-organizations-nyse-american-llc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-05782,Self-Regulatory Organizations; New York Stock Exchange LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Connectivity Fee Schedule,Securities and Exchange Commission,2025-04-04,Notice,,https://www.federalregister.gov/documents/2025/04/04/2025-05782/self-regulatory-organizations-new-york-stock-exchange-llc-notice-of-filing-and-immediate
FR,2025-05780,"Self-Regulatory Organizations; NYSE National, Inc.; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Connectivity Fee Schedule",Securities and Exchange Commission,2025-04-04,Notice,,https://www.federalregister.gov/documents/2025/04/04/2025-05780/self-regulatory-organizations-nyse-national-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-05779,"Self-Regulatory Organizations; NYSE Arca, Inc.; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Connectivity Fee Schedule",Securities and Exchange Commission,2025-04-04,Notice,,https://www.federalregister.gov/documents/2025/04/04/2025-05779/self-regulatory-organizations-nyse-arca-inc-notice-of-filing-and-immediate-effectiveness-of-proposed
FR,2025-05714,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-04-03,Rule,,https://www.federalregister.gov/documents/2025/04/03/2025-05714/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-05713,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-04-03,Rule,,https://www.federalregister.gov/documents/2025/04/03/2025-05713/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-05587,"Self-Regulatory Organizations; Long-Term Stock Exchange, Inc.; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend the Fee Schedule To Adopt Certain Market Data Fees",Securities and Exchange Commission,2025-04-02,Notice,,https://www.federalregister.gov/documents/2025/04/02/2025-05587/self-regulatory-organizations-long-term-stock-exchange-inc-notice-of-filing-and-immediate
FR,2025-05545,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-04-01,Rule,,https://www.federalregister.gov/documents/2025/04/01/2025-05545/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-05544,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-04-01,Rule,,https://www.federalregister.gov/documents/2025/04/01/2025-05544/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-05453,"Self-Regulatory Organizations; Cboe EDGX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Increase the Monthly Fee for 10 Gb Physical Ports",Securities and Exchange Commission,2025-03-31,Notice,,https://www.federalregister.gov/documents/2025/03/31/2025-05453/self-regulatory-organizations-cboe-edgx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-05451,"Self-Regulatory Organizations; Cboe BZX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Increase the Monthly Fee for 10 Gb Physical Ports",Securities and Exchange Commission,2025-03-31,Notice,,https://www.federalregister.gov/documents/2025/03/31/2025-05451/self-regulatory-organizations-cboe-bzx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-05450,"Self-Regulatory Organizations; Cboe C2 Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Increase the Monthly Fee for 10 Gb Physical Ports",Securities and Exchange Commission,2025-03-31,Notice,,https://www.federalregister.gov/documents/2025/03/31/2025-05450/self-regulatory-organizations-cboe-c2-exchange-inc-notice-of-filing-and-immediate-effectiveness-of-a
FR,2025-05210,"Self-Regulatory Organizations; Cboe BZX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Increase the Monthly Fee for 10 Gb Physical Ports",Securities and Exchange Commission,2025-03-27,Notice,,https://www.federalregister.gov/documents/2025/03/27/2025-05210/self-regulatory-organizations-cboe-bzx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-05209,"Self-Regulatory Organizations; Cboe BYX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Increase the Monthly Fee for 10 Gb Physical Ports",Securities and Exchange Commission,2025-03-27,Notice,,https://www.federalregister.gov/documents/2025/03/27/2025-05209/self-regulatory-organizations-cboe-byx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-05204,"Self-Regulatory Organizations; Cboe EDGA Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Increase the Monthly Fee for 10 Gb Physical Ports",Securities and Exchange Commission,2025-03-27,Notice,,https://www.federalregister.gov/documents/2025/03/27/2025-05204/self-regulatory-organizations-cboe-edga-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-05201,"Self-Regulatory Organizations; Cboe EDGX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Increase the Monthly Fee for 10 Gb Physical Ports",Securities and Exchange Commission,2025-03-27,Notice,,https://www.federalregister.gov/documents/2025/03/27/2025-05201/self-regulatory-organizations-cboe-edgx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-05043,"Self-Regulatory Organizations; Cboe EDGX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend Its Fee Schedule Regarding Dedicated Cores",Securities and Exchange Commission,2025-03-26,Notice,,https://www.federalregister.gov/documents/2025/03/26/2025-05043/self-regulatory-organizations-cboe-edgx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-05042,"Self-Regulatory Organizations; Cboe EDGA Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend Its Fee Schedule Regarding Dedicated Cores",Securities and Exchange Commission,2025-03-26,Notice,,https://www.federalregister.gov/documents/2025/03/26/2025-05042/self-regulatory-organizations-cboe-edga-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-04976,"Self-Regulatory Organizations; Cboe BZX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend Its Fee Schedule Regarding Dedicated Cores",Securities and Exchange Commission,2025-03-25,Notice,,https://www.federalregister.gov/documents/2025/03/25/2025-04976/self-regulatory-organizations-cboe-bzx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-04974,"Self-Regulatory Organizations; Cboe BYX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend Its Fee Schedule Regarding Dedicated Cores",Securities and Exchange Commission,2025-03-25,Notice,,https://www.federalregister.gov/documents/2025/03/25/2025-04974/self-regulatory-organizations-cboe-byx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2025-04580,Privacy Act of 1974; Systems of Records,Nuclear Regulatory Commission,2025-03-19,Notice,,https://www.federalregister.gov/documents/2025/03/19/2025-04580/privacy-act-of-1974-systems-of-records
FR,2025-04516,Joint Industry Plan; Notice of Filing of Amendment to the National Market System Plan Governing the Consolidated Audit Trail Regarding the Proposed Customer and Account Information System Amendment,Securities and Exchange Commission,2025-03-19,Notice,,https://www.federalregister.gov/documents/2025/03/19/2025-04516/joint-industry-plan-notice-of-filing-of-amendment-to-the-national-market-system-plan-governing-the
FR,2025-03683,Combined Notice of Filings #1,"Energy Department, Federal Energy Regulatory Commission",2025-03-07,Notice,,https://www.federalregister.gov/documents/2025/03/07/2025-03683/combined-notice-of-filings-1
FR,2025-03682,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-03-07,Rule,,https://www.federalregister.gov/documents/2025/03/07/2025-03682/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-03681,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-03-07,Rule,,https://www.federalregister.gov/documents/2025/03/07/2025-03681/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-03367,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-03-04,Rule,,https://www.federalregister.gov/documents/2025/03/04/2025-03367/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-03366,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-03-04,Rule,,https://www.federalregister.gov/documents/2025/03/04/2025-03366/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-02628,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-02-18,Rule,,https://www.federalregister.gov/documents/2025/02/18/2025-02628/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-02627,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-02-18,Rule,,https://www.federalregister.gov/documents/2025/02/18/2025-02627/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-02450,Combined Notice of Filings #2,"Energy Department, Federal Energy Regulatory Commission",2025-02-11,Notice,,https://www.federalregister.gov/documents/2025/02/11/2025-02450/combined-notice-of-filings-2
FR,2025-02281,"Amendment of Jet Route J-96 in the Vicinity of Cimarron, NM","Transportation Department, Federal Aviation Administration",2025-02-06,Proposed Rule,,https://www.federalregister.gov/documents/2025/02/06/2025-02281/amendment-of-jet-route-j-96-in-the-vicinity-of-cimarron-nm
FR,2025-02101,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-02-03,Rule,,https://www.federalregister.gov/documents/2025/02/03/2025-02101/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-02100,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-02-03,Rule,,https://www.federalregister.gov/documents/2025/02/03/2025-02100/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-01545,"Self-Regulatory Organizations; New York Stock Exchange LLC; NYSE American LLC; NYSE Arca, Inc.; NYSE Chicago, Inc.; NYSE National, Inc.; Notice of Withdrawal of Proposed Rule Change To Amend the Connectivity Fee Schedule",Securities and Exchange Commission,2025-01-23,Notice,,https://www.federalregister.gov/documents/2025/01/23/2025-01545/self-regulatory-organizations-new-york-stock-exchange-llc-nyse-american-llc-nyse-arca-inc-nyse
FR,2025-00985,"Technical Assistance on State Data Collection-National Technical Assistance Center To Improve State Capacity To Collect, Report, Analyze, and Use Accurate IDEA Part B and Part C Fiscal Data",Education Department,2025-01-21,Proposed Rule,,https://www.federalregister.gov/documents/2025/01/21/2025-00985/technical-assistance-on-state-data-collection-national-technical-assistance-center-to-improve-state
FR,2025-00962,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-01-17,Rule,,https://www.federalregister.gov/documents/2025/01/17/2025-00962/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-00961,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-01-17,Rule,,https://www.federalregister.gov/documents/2025/01/17/2025-00961/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-00329,Endangered and Threatened Wildlife and Plants; Grizzly Bear Listing on the List of Endangered and Threatened Wildlife With a Revised Section 4(d) Rule,"Interior Department, Fish and Wildlife Service",2025-01-15,Proposed Rule,,https://www.federalregister.gov/documents/2025/01/15/2025-00329/endangered-and-threatened-wildlife-and-plants-grizzly-bear-listing-on-the-list-of-endangered-and
FR,2025-00547,Supplemental Evidence and Data Request on Primary Hypofractionated Radiation Therapy for Localized Prostate Cancer: A Systematic Review,"Health and Human Services Department, Agency for Healthcare Research and Quality",2025-01-14,Notice,,https://www.federalregister.gov/documents/2025/01/14/2025-00547/supplemental-evidence-and-data-request-on-primary-hypofractionated-radiation-therapy-for-localized
FR,2024-31372,Classification of Digital Content Transactions and Cloud Transactions,"Treasury Department, Internal Revenue Service",2025-01-14,Rule,,https://www.federalregister.gov/documents/2025/01/14/2024-31372/classification-of-digital-content-transactions-and-cloud-transactions
FR,2025-00195,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-01-08,Rule,,https://www.federalregister.gov/documents/2025/01/08/2025-00195/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2025-00194,"Standard Instrument Approach Procedures, and Takeoff Minimums and Obstacle Departure Procedures; Miscellaneous Amendments","Transportation Department, Federal Aviation Administration",2025-01-08,Rule,,https://www.federalregister.gov/documents/2025/01/08/2025-00194/standard-instrument-approach-procedures-and-takeoff-minimums-and-obstacle-departure-procedures
FR,2024-31505,Self-Regulatory Organizations; New York Stock Exchange LLC; Notice of Filing of Proposed Rule Change To Amend the Connectivity Fee Schedule,Securities and Exchange Commission,2025-01-03,Notice,,https://www.federalregister.gov/documents/2025/01/03/2024-31505/self-regulatory-organizations-new-york-stock-exchange-llc-notice-of-filing-of-proposed-rule-change
FR,2024-31504,Self-Regulatory Organizations; NYSE American LLC; Notice of Filing of Proposed Change To Amend the Connectivity Fee Schedule,Securities and Exchange Commission,2025-01-03,Notice,,https://www.federalregister.gov/documents/2025/01/03/2024-31504/self-regulatory-organizations-nyse-american-llc-notice-of-filing-of-proposed-change-to-amend-the
FR,2024-31503,"Self-Regulatory Organizations; NYSE Arca, Inc.; Notice of Filing of Proposed Rule Change to Amend the Connectivity Fee Schedule",Securities and Exchange Commission,2025-01-03,Notice,,https://www.federalregister.gov/documents/2025/01/03/2024-31503/self-regulatory-organizations-nyse-arca-inc-notice-of-filing-of-proposed-rule-change-to-amend-the
FR,2024-31502,"Self-Regulatory Organizations; NYSE Chicago, Inc.; Notice of Filing of Proposed Rule Change To Amend the Connectivity Fee Schedule",Securities and Exchange Commission,2025-01-03,Notice,,https://www.federalregister.gov/documents/2025/01/03/2024-31502/self-regulatory-organizations-nyse-chicago-inc-notice-of-filing-of-proposed-rule-change-to-amend-the
FR,2024-31501,"Self-Regulatory Organizations; NYSE National, Inc.; Notice of Filing of Proposed Change To Amend the Connectivity Fee Schedule",Securities and Exchange Commission,2025-01-03,Notice,,https://www.federalregister.gov/documents/2025/01/03/2024-31501/self-regulatory-organizations-nyse-national-inc-notice-of-filing-of-proposed-change-to-amend-the
FR,2024-31031,"Program Integrity and Institutional Quality: Distance Education and Return of Title IV, HEA Funds",Education Department,2025-01-03,Rule,,https://www.federalregister.gov/documents/2025/01/03/2024-31031/program-integrity-and-institutional-quality-distance-education-and-return-of-title-iv-hea-funds
FR,2024-31093,"Self-Regulatory Organizations; Cboe EDGX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend its Fees Schedule Related to Physical Port Fees",Securities and Exchange Commission,2024-12-30,Notice,,https://www.federalregister.gov/documents/2024/12/30/2024-31093/self-regulatory-organizations-cboe-edgx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2024-31091,"Self-Regulatory Organizations; Cboe C2 Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend its Fees Schedule Related to Physical Port Fees",Securities and Exchange Commission,2024-12-30,Notice,,https://www.federalregister.gov/documents/2024/12/30/2024-31091/self-regulatory-organizations-cboe-c2-exchange-inc-notice-of-filing-and-immediate-effectiveness-of-a
FR,2024-30924,Self-Regulatory Organizations; New York Stock Exchange LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend Certain Fees for the NYSE Integrated Data Feed,Securities and Exchange Commission,2024-12-30,Notice,,https://www.federalregister.gov/documents/2024/12/30/2024-30924/self-regulatory-organizations-new-york-stock-exchange-llc-notice-of-filing-and-immediate
FR,2024-30912,"Self-Regulatory Organizations; Cboe BYX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend Its Fees Schedule Related to Physical Port Fees",Securities and Exchange Commission,2024-12-30,Notice,,https://www.federalregister.gov/documents/2024/12/30/2024-30912/self-regulatory-organizations-cboe-byx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2024-30910,"Self-Regulatory Organizations; Cboe BZX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend Its Fees Schedule Related to Physical Port Fees",Securities and Exchange Commission,2024-12-30,Notice,,https://www.federalregister.gov/documents/2024/12/30/2024-30910/self-regulatory-organizations-cboe-bzx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2024-30909,"Self-Regulatory Organizations; Cboe EDGX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend Its Fees Schedule Related to Physical Port Fees",Securities and Exchange Commission,2024-12-30,Notice,,https://www.federalregister.gov/documents/2024/12/30/2024-30909/self-regulatory-organizations-cboe-edgx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2024-30908,"Self-Regulatory Organizations; Cboe EDGA Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend its Fees Schedule Related to Physical Port Fees",Securities and Exchange Commission,2024-12-30,Notice,,https://www.federalregister.gov/documents/2024/12/30/2024-30908/self-regulatory-organizations-cboe-edga-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2024-31092,"Self-Regulatory Organizations; Cboe BZX Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend Its Fees Schedule Related to Physical Port Fees",Securities and Exchange Commission,2024-12-27,Notice,,https://www.federalregister.gov/documents/2024/12/27/2024-31092/self-regulatory-organizations-cboe-bzx-exchange-inc-notice-of-filing-and-immediate-effectiveness-of
FR,2024-30526,"Self-Regulatory Organizations; Nasdaq PHLX LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend Options 7, Section 9",Securities and Exchange Commission,2024-12-23,Notice,,https://www.federalregister.gov/documents/2024/12/23/2024-30526/self-regulatory-organizations-nasdaq-phlx-llc-notice-of-filing-and-immediate-effectiveness-of
FR,2024-30525,"Self-Regulatory Organizations; Nasdaq BX, Inc.; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend BX Options 7, Section 3",Securities and Exchange Commission,2024-12-23,Notice,,https://www.federalregister.gov/documents/2024/12/23/2024-30525/self-regulatory-organizations-nasdaq-bx-inc-notice-of-filing-and-immediate-effectiveness-of-proposed
FR,2024-30521,"Self-Regulatory Organizations; The Nasdaq Stock Market LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Amend Options 7, Section 3",Securities and Exchange Commission,2024-12-23,Notice,,https://www.federalregister.gov/documents/2024/12/23/2024-30521/self-regulatory-organizations-the-nasdaq-stock-market-llc-notice-of-filing-and-immediate
FR,2024-30469,Combined Notice of Filings #1,"Energy Department, Federal Energy Regulatory Commission",2024-12-20,Notice,,https://www.federalregister.gov/documents/2024/12/20/2024-30469/combined-notice-of-filings-1
